id,label_zh,brittleness,risk_weight,typical_damage_types,typical_position
flexural,彎曲破壞,ductile_if_confined,medium,horizontal_crack;cover_spalling,column_top;column_bottom;beam_end;wall_corner
shear,剪力破壞,brittle,high,diagonal_crack_45;x_shaped_crack,column_mid;beam_mid;wall_center
axial_compression,軸力壓潰,brittle,critical,concrete_blowout;core_concrete_crushing;main_rebar_buckled,column_top;column_bottom;wall_corner
short_column_effect,短柱效應,brittle,critical,diagonal_crack_45;x_shaped_crack,column_mid;wall_column_interface
joint_failure,接頭破壞,brittle,high,joint_diagonal_crack;beam_column_joint_failure,joint_region
buckling,鋼構挫屈,brittle,high,steel_buckling,mid_height;base
connection_failure,接合破壞,brittle,high,bolt_loosened_or_sheared;weld_cracking;member_detachment,joint_region;beam_end
non_structural_falling,非結構墜落,brittle,medium,tile_spalling;exterior_finish_spalling;ceiling_collapse;curtain_wall_damage;glass_breakage;parapet_damage,distributed
non_structural_toppling,非結構傾倒,brittle,medium,partition_collapse;cabinet_toppling;fence_collapse;exterior_stair_tilt;water_tank_tilt;utility_pole_tilt,distributed
